timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692211901018,124,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/21,124,0,0
1692211901015,142,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,241,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/5,142,0,0
1692211901091,127,PUT specific Activity,200,OK,Stress test 1-2,text,true,,332,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/3,127,0,0
1692211901143,118,GET specific Activity,200,OK,Stress test 1-3,text,true,,354,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/29,118,0,0
1692211901157,121,GET specific Activity,200,OK,Stress test 1-1,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/30,121,0,0
1692211901218,114,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,241,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/3,114,0,0
1692211901278,142,POST Activity,200,OK,Stress test 1-1,text,true,,335,298,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,142,0,0
1692211901261,161,POST Activity,200,OK,Stress test 1-3,text,true,,334,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,161,0,0
1692211901422,122,PUT specific Activity,200,OK,Stress test 1-3,text,true,,334,299,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/29,122,0,0
1692211901420,127,PUT specific Activity,200,OK,Stress test 1-1,text,true,,335,300,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/30,127,0,0
1692211901332,216,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/20,216,0,0
1692211901545,316,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/29,316,0,0
1692211901547,345,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/30,345,0,0
1692211901548,345,POST Activity,200,OK,Stress test 1-2,text,true,,333,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,344,0,0
1692211901863,116,GET specific Activity,200,OK,Stress test 1-3,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/18,116,0,0
1692211901979,223,POST Activity,200,OK,Stress test 1-3,text,true,,330,293,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,223,0,0
1692211901893,369,PUT specific Activity,200,OK,Stress test 1-2,text,true,,333,298,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/20,369,0,0
1692211901892,377,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/13,377,0,0
1692211902202,124,PUT specific Activity,200,OK,Stress test 1-3,text,true,,330,295,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/18,124,0,0
1692211902262,112,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/20,112,0,0
1692211902326,188,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/18,188,0,0
1692211902269,245,POST Activity,200,OK,Stress test 1-1,text,true,,334,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,245,0,0
